domain,tranco_rank,category,theme,ip,server_header,primary_contact_email,all_emails,phones,socials,addresses,pages_checked,fetched_at
albtin.co.zw,,business,,185.150.190.64,nginx,sales@albtin.co.zw,sales@albtin.co.zw,+263 774 816 264,,,"/,/about/,/contact",2026-05-04T21:08:46.288607+00:00
afrimedia.co.zw,,business,,65.60.39.46,,,,,,,,2026-05-04T21:08:46.288660+00:00
afrocube.co.zw,,business,,149.102.154.62,nginx,ask@afrocube.co.zw,ask@afrocube.co.zw,+263 714 124 378; +263 716 466 234; +263-714-124-378 024-213-2521,,,"/,/about/,/contact",2026-05-04T21:08:46.288693+00:00
apexrainbow.co.zw,,other,,194.110.243.35,,,,,,,,2026-05-04T21:08:46.288722+00:00
1c1031.co.zw,,religious,twentysixteen,162.211.86.33,Apache,,,,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.288737+00:00
archaluminium.co.zw,,business,,188.114.96.5,,,,+263 778 498 911; +263 773 687 010; +263 4 334566,https://www.facebook.com/architecturalaluminiumzimbabwe/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.288768+00:00
afc.co.zw,,ecommerce,enfold-child,162.241.219.92,nginx/1.27.2,,,+263 4 746892; +263 864 4075 925; +263 775 374 857,https://www.facebook.com/Accessories-Fitment-Centre-358698204204476/; http://twitter.com/#; http://instagram.com/#,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.288800+00:00
autoecuservicezim.co.zw,,ecommerce,,209.42.28.12,LiteSpeed,,,,,,,2026-05-04T21:08:46.288821+00:00
vacancybox.co.zw,834485,other,astra,188.114.97.5,,,,+263 77 184 5329; +263 771 845 329; +263 77 767 7008,https://www.facebook.com/vacancybox; https://mobile.twitter.com/vacancybox,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.288843+00:00
ammz.co.zw,,business,,172.67.137.7,cloudflare,,,,,,"/,/about/",2026-05-04T21:08:46.288869+00:00
247bulkwaternetwork.co.zw,,business,medo-pixel,188.114.96.5,cloudflare,,,,,,"/,/contact-us/,/contact",2026-05-04T21:08:46.288889+00:00
amorsport.co.zw,,ecommerce,,149.255.58.79,nginx,info@amorsport.co.zw,info@amorsport.co.zw,+263 773 039 992,https://www.facebook.com/amorsportzw; https://www.instagram.com/amorsportzw/,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.288919+00:00
anixsys.co.zw,,other,,149.255.62.9,nginx,#,#; support@diviphonerepair.com,,,,/,2026-05-04T21:08:46.288934+00:00
abdeel.co.zw,,other,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.288948+00:00
appliedcontrols.co.zw,,business,,192.250.229.149,LiteSpeed,sales@appliedcontrols.co.zw,sales@appliedcontrols.co.zw; technical@appliedcontrols.co.zw; sales2@appliedcontrols.co.zw,+263 242 661 304; +263 292 260 106; +263 242 661 106,https://www.facebook.com/AppliedControl/; https://www.linkedin.com/company/applied-controls-technology/; https://www.linkedin.com/company/applied-controls-technology,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.288992+00:00
