domain,score,tranco_rank,category,sector_tags,theme,plugins,homepage_kb,verified_at,screenshot
utande.co.zw,100,40257,business,tech,hello-elementor,elementor;elementor-pro;safe-svg,81,2026-05-01T11:28:57.126271+00:00,screenshots/utande.co.zw.png
zou.ac.zw,100,115329,education,education,,,,,
zimswitch.co.zw,100,268007,business,finance,zimswitch,ewww-image-optimizer,310,2026-05-01T11:28:48.367184+00:00,screenshots/zimswitch.co.zw.png
techzim.co.zw,100,271901,news,media;tech,afrispark-twenty25-child,google-site-kit;optimization-detective;shop;widget-google-reviews;woocommerce;woocommerce-paypal-payments;wordpress-popular-posts,734,2026-05-01T11:28:46.253522+00:00,screenshots/techzim.co.zw.png
powershop.co.zw,100,388827,ecommerce,retail;tech,blonwe,ar-contactus;blonwe-core;contact-form-7;elementor;google-listings-and-ads;google-site-kit;mailchimp-for-wp;tiktok-for-business;woocommerce,265,2026-05-01T11:28:46.653189+00:00,screenshots/powershop.co.zw.png
myzimbabwe.co.zw,100,391225,news,media,Newspaper,advanced-ads;cleantalk-spam-protect;cookie-law-info;embed-any-document;feedzy-rss-feeds;gn-publisher;google-analytics-for-wordpress;jetpack;my-html-post-widgets;social-warfare;td-cloud-library;td-composer;td-standard-pack;webpushr-web-push-notifications,531,2026-05-01T11:28:52.353844+00:00,screenshots/myzimbabwe.co.zw.png
dailynews.co.zw,100,463008,news,media,inhype,Archive;adrotate;ajax-login-and-registration-modal-popup;ap-pricing-tables;contact-form-7;dflip;inhype-theme-addons;kirki;responsive-lightbox;woocommerce;woocommerce-memberships;wordpress-popular-posts,742,2026-05-01T11:28:51.589107+00:00,screenshots/dailynews.co.zw.png
soccer24.co.zw,100,508799,other,media,s24-theme-2024,google-analytics-for-wordpress;soccer24-banners-v1;tablepress,192,2026-05-01T11:28:50.486781+00:00,screenshots/soccer24.co.zw.png
delta.co.zw,100,559371,business,agriculture;finance,delta-zimbabwe,age-gate;codevz-plus;contact-form-7;gtm-kit;js_composer;megamenu;organization-chart;popup-maker;revslider;revslider-transitionpack-addon;woocommerce;wp-content-copy-protector,370,2026-05-01T11:29:07.599118+00:00,screenshots/delta.co.zw.png
gzu.ac.zw,100,564987,education,education,astra,astra-addon;astra-pro-sites;download-manager;elementor;elementor-pro;elementskit-lite;embedpress;spectra-pro-1;ultimate-addons-for-gutenberg;wp-event-manager,334,2026-05-01T11:29:18.845391+00:00,screenshots/gzu.ac.zw.png
applynow.co.zw,93,706154,other,tech,foxiz,contact-form-7;elementor;foxiz-core;jetpack;surveyx-builder,158,2026-05-01T11:28:55.266365+00:00,screenshots/applynow.co.zw.png
tvsales.co.zw,100,832529,ecommerce,retail,hello-elementor,3d-flipbook-dflip-lite;add-search-to-menu;elementor;elementor-pro;halfdata-green-popups;mailchimp-for-woocommerce;onesignal-free-web-push-notifications;pw-gift-cards;revslider;ubermenu;woo-product-carousel-slider-for-elementor-pro;woocommerce;woocommerce-gateway-iveri-lite;woocommerce-google-analytics-integration;woocommerce-products-filter;wp-store-locator,437,2026-05-01T11:29:03.170414+00:00,screenshots/tvsales.co.zw.png
vacancybox.co.zw,100,834485,other,tech,astra,wp-job-manager,85,2026-05-01T11:29:01.777985+00:00,screenshots/vacancybox.co.zw.png
zimbamusic.co.zw,100,841054,other,media,Newspaper,download-monitor;rocket-lazy-load;td-cloud-library;td-composer;td-standard-pack,457,2026-05-01T11:29:04.161778+00:00,screenshots/zimbamusic.co.zw.png
hansole.co.zw,100,914509,business,tech,astra,astra-sites;elementor;latepoint;suretriggers;wp-live-chat-support,150,2026-05-01T11:29:08.920941+00:00,screenshots/hansole.co.zw.png
pay.maz.co.zw,100,,business,finance,MAZ,contact-form-7;woocommerce,23,2026-05-01T12:30:43.662350+00:00,screenshots/pay.maz.co.zw.png
sbminnovations.co.zw,100,,business,other,astra,click-to-chat-for-whatsapp;elementor,178,2026-05-01T12:30:44.418912+00:00,screenshots/sbminnovations.co.zw.png
oxfordproperties.co.zw,100,,business,real-estate,enfold,,129,2026-05-01T12:30:46.757197+00:00,screenshots/oxfordproperties.co.zw.png
masseyferguson.co.zw,75,,ecommerce,agriculture;retail,backhoe,contact-form-7;js_composer;woocomm-product-enquiry;woocommerce;wp-image-zoooom,122,2026-05-01T12:30:47.227243+00:00,screenshots/masseyferguson.co.zw.png
avenuesclinic.co.zw,100,,business,health,enfold,alert-notice-boxes;click-to-chat-for-whatsapp;woo-donations;woocommerce;woocommerce-gateway-iveri-lite-1;youtube-embed-plus,92,2026-05-01T12:30:49.235086+00:00,screenshots/avenuesclinic.co.zw.png
sayspring.co.zw,100,,business,other,twentytwenty,,124,2026-05-01T12:30:49.746375+00:00,screenshots/sayspring.co.zw.png
sanitationservices.co.zw,85,,business,hospitality,Divi,animate-it;contact-form-7;gs-logo-slider,64,2026-05-01T12:30:50.411224+00:00,screenshots/sanitationservices.co.zw.png
projectvote263.org.zw,100,,ngo,other,twentytwentyfive,all-in-one-seo-pack;elementor;elementor-pro;elementskit-lite;essential-addons-for-elementor-lite;header-footer-elementor;instagram-feed;metform;royal-elementor-addons,210,2026-05-01T12:30:51.468314+00:00,screenshots/projectvote263.org.zw.png
masiya-sheshe.co.zw,100,,business,legal,xtra,codevz-plus;contact-form-7;js_composer;revslider;woocommerce,108,2026-05-01T12:30:52.447646+00:00,screenshots/masiya-sheshe.co.zw.png
sbsgroup.co.zw,100,,business,other,hello-elementor,bdthemes-prime-slider-lite;elementor;elementor-pro;elementskit-lite;timeline-widget-addon-for-elementor;wp-google-map-plugin,75,2026-05-01T12:30:54.706918+00:00,screenshots/sbsgroup.co.zw.png
byco.co.zw,95,,ecommerce,retail,Avada,eazyest-gallery;js_composer,47,2026-05-01T12:30:55.624341+00:00,screenshots/byco.co.zw.png
